id	antibody	specie	treatment	control_id	cell_id	experiment_type	tf_uniprot_id	algn_id	peaks_id	geo_gsm	geo_gse	encode
EXP000489	sc-345	Homo sapiens	Treatment: IFN gamma	EXP000490	423	unspecified	P42224	ALIGNS033052	PEAKS033050	GSE12782	GSM320736	NULL
EXP000370	EOMES	Homo sapiens	NULL	EXP000369	396	unspecified	O95936	ALIGNS033053	PEAKS033051	GSE26097	GSM640691	NULL
EXP000278	Combined anti-DUX4 C-terminus rabbit polyclonal antibodies MO488 and MO489	Homo sapiens	Treatment: myoblasts transduced with lentivirus carrying DUX4	EXP000279	467	unspecified	Q9UBX2	ALIGNS033054	PEAKS033052	GSE33838	GSM837613	NULL
EXP000276		Homo sapiens	NULL	EXP000275	113	unspecified	P03372	ALIGNS034237	PEAKS033053	GSE33804	GSM836126	NULL
EXP000379	NFYA (Santa Cruz H-209 sc-10779, Lot D2408)	Homo sapiens	NULL	EXP000377	514	unspecified	P23511	ALIGNS034239	PEAKS033054	GSE26439	GSM648587	NULL
EXP000653	sc-15022	Homo sapiens	Treatment: DHT	EXP030990	70	unspecified	Q99801	ALIGNS034240	PEAKS033055	GSE28264	GSM699633	NULL
EXP000623	FOXA1 - Cat# AB4124, Chemicon	Homo sapiens	Treatment: E2	NULL	111	unspecified	P55317	ALIGNS033055	PEAKS033056	GSE26831	GSM659795	NULL
EXP000578	rabbit anti TR4 (JD Engel lab)	Homo sapiens	NULL	NULL	430	unspecified	P49116	ALIGNS033056	PEAKS033057	GSE24685	GSM608156;GSM608155	NULL
EXP000579	rabbit anti TR4 (JD Engel lab)	Homo sapiens	NULL	NULL	356	unspecified	P49116	ALIGNS033057	PEAKS033058	GSE24685	GSM608158;GSM608157	NULL
EXP000574	abnova mouse polyclonal anti-ZNF274	Homo sapiens	NULL	NULL	423	unspecified	Q96GC6	ALIGNS033058	PEAKS033059	GSE24632	GSM607485;GSM607486	NULL
EXP000575	abnova mouse polyclonal anti-ZNF274	Homo sapiens	NULL	NULL	356	unspecified	Q96GC6	ALIGNS033059	PEAKS033060	GSE24632	GSM607488;GSM607487	NULL
EXP000576	Epitomics monoclonal rabbit anti ELK1	Homo sapiens	NULL	NULL	423	unspecified	P19419	ALIGNS034241	PEAKS033061	GSE24685	GSM608163	NULL
EXP000577	rabbit anti TR4 (JD Engel lab)	Homo sapiens	NULL	NULL	514	unspecified	P49116	ALIGNS033060	PEAKS033062	GSE24685	GSM608154;GSM608153	NULL
EXP000570	anti-BAF155 (H-76), Santa Cruz Biotechnology, sc-10756	Homo sapiens	NULL	NULL	423	unspecified	Q92922	ALIGNS033061	PEAKS033063	GSE24397	GSM601400	NULL
EXP000571	anti-BAF170 (H-116), Santa Cruz Biotechnology, sc-10757	Homo sapiens	NULL	NULL	423	unspecified	Q8TAQ2	ALIGNS033062	PEAKS033064	GSE24397	GSM601401	NULL
EXP000572	abnova mouse polyclonal anti-ZNF274	Homo sapiens	NULL	NULL	514	unspecified	Q96GC6	ALIGNS033063	PEAKS033065	GSE24632	GSM607481;GSM607482	NULL
EXP000573	abnova mouse polyclonal anti-ZNF274	Homo sapiens	NULL	NULL	430	unspecified	Q96GC6	ALIGNS033064	PEAKS033066	GSE24632	GSM607483;GSM607484	NULL
EXP000474	ER?, Santa Cruz Biotechnology, sc-8005 X	Homo sapiens	Treatment: E2 for 24hr	NULL	113	unspecified	P03372	ALIGNS034242	PEAKS033067	GSE35109	GSM862181	NULL
EXP000471	ER?, Santa Cruz Biotechnology, sc-8005 X	Homo sapiens	Treatment: DMSO	NULL	113	unspecified	P03372	ALIGNS034243	PEAKS033068	GSE35109	GSM862178	NULL
EXP000473	ER?, Santa Cruz Biotechnology, sc-8005 X	Homo sapiens	Treatment: E2 for 4hr	NULL	113	unspecified	P03372	ALIGNS034244	PEAKS033069	GSE35109	GSM862180	NULL
EXP000472	ER?, Santa Cruz Biotechnology, sc-8005 X	Homo sapiens	Treatment: E2 for 1hr	NULL	113	unspecified	P03372	ALIGNS034245	PEAKS033070	GSE35109	GSM862179	NULL
