id	title	cellosaurus_id	species	cell_ontology_id	exp_factor_ontology_id	uberon_id	source	source_id	cell_type_id	brenda_id	other_id
1	IB10 (embryonic stem cells)		Mus musculus				cell line	CL:0000010			NULL
2	mESCs (mouse embryonic stem cells)		Mus musculus		EFO:0004038		stem cell	CL:0000034	CL:0002322		NULL
3	epididymal white adipose tissue		Mus musculus			UBERON:0001347	adipose tissue	UBERON:0001013	UBERON:0010412	BTO:0001456	NULL
4	inguinal white adipose tissue		Mus musculus			UBERON:0001347	adipose tissue	UBERON:0001013	UBERON:0010410	BTO:0001456	NULL
5	liver		Mus musculus			UBERON:0002107	liver	UBERON:0002107		BTO:0000759	NULL
6	16T (small cell lung carcinoma)		Mus musculus				cell line	CL:0000010			NULL
7	22RV1 (prostate carcinoma)	CVCL_1045	Homo sapiens	CLO:0001199	EFO:0002095		cell line	CL:0000010	CVCL_1045	BTO:0002999	NULL
8	266-6 (pancreatic acinar tumor)	CVCL_3481	Mus musculus	CLO:0001216			cell line	CL:0000010	CVCL_3481		NULL
9	Flp-In-293 (embryonic kidney)	CVCL_U421	Homo sapiens				cell line	CL:0000010	CVCL_U421		NULL
10	HEK293T (embryonic kidney)	CVCL_0063	Homo sapiens		EFO:0001184		cell line	CL:0000010	CVCL_0063	BTO:0002181	NULL
11	HEK293-T-Rex (embryonic kidney)	CVCL_D585	Homo sapiens	CLO:0037238			cell line	CL:0000010	CVCL_D585	BTO:0005238	NULL
12	MEF (mouse embryonic fibroblasts)		Mus musculus	CL:2000042			embryonic cell	CL:0002321	CL:2000042	BTO:0002572	NULL
13	2TS22C (embryonic stem cells)	CVCL_E266	Mus musculus		EFO:0006529		cell line	CL:0000010	CVCL_E266		NULL
14	3134 (mammary adenocarcinoma)	CVCL_H641	Mus musculus		EFO:0007069		cell line	CL:0000010	CVCL_H641		NULL
15	38B9 (A-MuLV pre-B-cells)		Mus musculus				cell line	CL:0000010			NULL
16	MIN6-B1 (insulinoma)		Mus musculus				cell line	CL:0000010			NULL
17	3T3 (embryonic fibroblasts)	CVCL_9092	Mus musculus	CLO:0001345			cell line	CL:0000010	CVCL_9092		NULL
18	3T3-L1 (embryonic fibroblasts)	CVCL_0123	Mus musculus		EFO:0001084		cell line	CL:0000010	CVCL_0123	BTO:0000011	NULL
19	3T3-L1-derived preadipocytes		Mus musculus				cell line	CL:0000010	CL:0002334		NULL
20	3T3-L1-derived adipocytes		Mus musculus				cell line	CL:0000010	BTO:0000443		NULL
21	3T3-L1-derived preadipocytes and adipocytes		Mus musculus				cell line	CL:0000010	CL:0002334;BTO:0000443		NULL
22	3T9 fibroblasts		Mus musculus				cell line	CL:0000010			NULL
23	416B (hematopoietic precursor cells)	CVCL_3983	Mus musculus	CLO:0001363	EFO:0005482		cell line	CL:0000010	CVCL_3983	BTO:0002884	NULL
24	451Lu (WM-451Lu, Melanoma)	CVCL_6357	Homo sapiens	CLO:0001373			cell line	CL:0000010	CVCL_6357	BTO:0003710	NULL
25	cerebellum		Mus musculus			UBERON:0002037	cerebellum	UBERON:0002037		BTO:0000232	NULL
26	501Mel (melanoma)	CVCL_4633	Homo sapiens				cell line	CL:0000010	CVCL_4633	BTO:0002956	NULL
27	501Mel-Cl8 (melanoma)		Homo sapiens				cell line	CL:0000010			NULL
28	70Z/3 (leukemia)	CVCL_0127	Mus musculus	CLO:0001468			cell line	CL:0000010	CVCL_0127	BTO:0000788	NULL
29	7438 (mammary carcinoma)		Mus musculus				cell line	CL:0000010			NULL
30	RCC 7860 (Renal cell carcinoma)	CVCL_1051	Homo sapiens	CLO:0001486	EFO:0005707		cell line	CL:0000010	CVCL_1051	BTO:0003781	NULL
31	8946 cells - Flag-Zmiz1/ L1601PDP (T lymphoblastic leukemia)		Mus musculus				cell line	CL:0000010			NULL
32	testis		Mus musculus			UBERON:0000473	testis	UBERON:0000473		BTO:0001363	NULL
33	A2780 (ovarian carcinoma)	CVCL_0134	Homo sapiens	CLO:0001571	EFO:0006362		cell line	CL:0000010	CVCL_0134		NULL
34	A2Lox.cre (embryonic stem cells)		Mus musculus				cell line	CL:0000010			NULL
35	A2lox FMsgn1 (embryonic stem cells)		Mus musculus				cell line	CL:0000010			NULL
36	A375 (malignant melanoma)	CVCL_0132	Homo sapiens	CLO:0001582	EFO:0002103		cell line	CL:0000010	CVCL_0132	BTO:0002806	NULL
37	A3 (embryonic stem cells)	CVCL_GS33	Mus musculus				cell line	CL:0000010	CVCL_GS33	BTO:0001342	NULL
38	A549 (lung carcinoma)	CVCL_0023	Homo sapiens		EFO:0001086		cell line	CL:0000010	CVCL_0023	BTO:0000018	NULL
39	AB32 (normal breast cells)		Homo sapiens				cell line	CL:0000010			NULL
40	AC16 (normal cardiomyocytes)	CVCL_4U18	Homo sapiens				cell line	CL:0000010	CVCL_4U18		NULL
41	B-cells		Mus musculus	CL:0000236			immune system	UBERON:0002405	CL:0000236		NULL
43	CD4+ Th17+ T-cells		Mus musculus				immune system	UBERON:0002405	CL:0000899	BTO:0005655	NULL
44	T-cells		Mus musculus	CL:0000893			immune system	UBERON:0002405	CL:0000893		NULL
45	acute myeloblastic leukemia		Homo sapiens				cancer	EFO:0000311	BTO:0001545		NULL
2779	naive CD4+ Th1 cells		Mus musculus				immune system	UBERON:0002405	CL:0000545		NULL
47	KG1 (acute myeloid leukemia)	CVCL_0374	Homo sapiens		EFO:0002218		cell line	CL:0000010	CVCL_0374	BTO:0000670	NULL
48	adherent peritoneal exudate macrophages		Mus musculus				immune system	UBERON:0002405	CL:0000235		NULL
49	SGBS (Simpson-Golabi-Behmel syndrome) adipocytes		Homo sapiens				adipose tissue	UBERON:0001013	BTO:0000443		NULL
50	C3H10T1/2-derived adipocytes		Mus musculus				cell line	CL:0000010	BTO:0000443		NULL
51	adipose stromal cell adipocytes		Homo sapiens	CLO:0036934			adipose tissue	UBERON:0001013	BTO:0000443	BTO:0004752	NULL
52	intestinal stem cells		Mus musculus				stem cell	CL:0000034	CL:0002250		NULL
53	heart		Mus musculus			UBERON:0000948	heart	UBERON:0000948		BTO:0000562	NULL
54	AG04449 (fibroblasts)	CVCL_F485	Homo sapiens	CLO:0034837			cell line	CL:0000010	CVCL_F485		NULL
55	AG04450 (fibroblasts)	CVCL_F486	Homo sapiens	CLO:0034832	EFO:0006270		cell line	CL:0000010	CVCL_F486		NULL
56	AG09309 (fibroblasts)	CVCL_L242	Homo sapiens	CLO:0021752			cell line	CL:0000010	CVCL_L242		NULL
57	AG09319 (fibroblasts)	CVCL_L243	Homo sapiens	CLO:0021754			cell line	CL:0000010	CVCL_L243		NULL
58	AG10803 (fibroblasts)	CVCL_L244	Homo sapiens	CLO:0021511			cell line	CL:0000010	CVCL_L244		NULL
59	AGS (gastric adenocarcinoma)	CVCL_0139	Homo sapiens	CLO:0001686	EFO:0002109		cell line	CL:0000010	CVCL_0139	BTO:0001007	NULL
60	Ainv15 (embryonic stem cells)	CVCL_6563	Mus musculus	CLO:0001690			cell line	CL:0000010	CVCL_6563		NULL
61	ALL-SIL (acute lymphoblastic leukemia)	CVCL_1805	Homo sapiens	CLO:0037168			cell line	CL:0000010	CVCL_1805	BTO:0005360	NULL
62	alveolar macrophages		Mus musculus				lung	UBERON:0002048	CL:0000583	BTO:0000802	NULL
63	AM-iPS-6 (induced pluripotent cells)	CVCL_D919	Homo sapiens				cell line	CL:0000010	CVCL_D919		NULL
64	AM-iPS-8 (induced pluripotent cells)	CVCL_D921	Homo sapiens				cell line	CL:0000010	CVCL_D921		NULL
65	U937 (adult acute monocytic leukemia)	CVCL_0007	Homo sapiens	CLO:0009466	EFO:0001257		cell line	CL:0000010	CVCL_0007	BTO:0001412	NULL
66	prostate cancer		Homo sapiens				cancer	EFO:0000311	BTO:0001130		NULL
67	aortic adventitial fibroblasts		Homo sapiens	CL:0002547			heart	UBERON:0000948	CL:0002547	BTO:0005640	NULL
68	aortic cells		Mus musculus				vascular system	UBERON:0007798			NULL
69	acute promyelocytic leukemia blasts		Homo sapiens		EFO:0000224		cancer	EFO:0000311	BTO:0004585	BTO:0004585	NULL
70	LNCaP (prostate carcinoma)	CVCL_0395	Homo sapiens	CLO:0037116	EFO:0002071		cell line	CL:0000010	CVCL_0395	BTO:0001321	NULL
71	VCaP (prostate carcinoma)	CVCL_2235	Homo sapiens	CLO:0037117	EFO:0007752		cell line	CL:0000010	CVCL_2235	BTO:0003215	NULL
72	astrocytes		Homo sapiens	CL:0000127	EFO:0002777		nervous system	UBERON:0001016	CL:0000127		NULL
73	G1E-derived erythroid cells		Mus musculus				cell line	CL:0000010	CL:0000764		NULL
2760	E11.5 embryonic heart		Mus musculus				embryonic cell	CL:0002321	UBERON:0000948		NULL
75	AtT-20 (pituitary tumor)	CVCL_2300	Mus musculus	CLO:0001766			cell line	CL:0000010	CVCL_2300	BTO:0001077	NULL
76	Th1-cells		Mus musculus				immune system	UBERON:0002405	CL:0000545	BTO:0001678	NULL
77	CP-A(Barrett esophagus epithelium)	CVCL_C451	Homo sapiens				cell line	CL:0000010	CVCL_C451		NULL
